group,variable,value
PRG,PRG,10.0
PRG,ANNEE_SCOLAIRE,-1.4496081058313715
PRG,SITE,-0.29044990273358934
PRG,ADR_VILLE,-0.3903730394671787
PRG,ADR_PAYS,-0.0013624660143839273
PRG,ENTREPRISE,-0.7150842906784189
PRG,VILLE,0.09556110341432278
PRG,PAYS,-0.9720921320548753
PRG,SUJET,-1.0331046269866668
PRG,REMUNERATION,-1.8992775440541874
PRG,idCSVDescript,
ANNEE_SCOLAIRE,PRG,-1.4496081058313715
ANNEE_SCOLAIRE,ANNEE_SCOLAIRE,10.0
ANNEE_SCOLAIRE,SITE,0.23660928104225776
ANNEE_SCOLAIRE,ADR_VILLE,0.034596120489349874
ANNEE_SCOLAIRE,ADR_PAYS,0.463199642066073
ANNEE_SCOLAIRE,ENTREPRISE,0.17068627783596582
ANNEE_SCOLAIRE,VILLE,0.12464925436037153
ANNEE_SCOLAIRE,PAYS,0.6236734598827627
ANNEE_SCOLAIRE,SUJET,0.6476006061993922
ANNEE_SCOLAIRE,REMUNERATION,-0.6343496164212756
ANNEE_SCOLAIRE,idCSVDescript,
SITE,PRG,-0.29044990273358934
SITE,ANNEE_SCOLAIRE,0.23660928104225776
SITE,SITE,10.0
SITE,ADR_VILLE,1.3178805251748846
SITE,ADR_PAYS,-0.06121282034876194
SITE,ENTREPRISE,0.5261641183799389
SITE,VILLE,0.5546180431153792
SITE,PAYS,-0.40116885623316617
SITE,SUJET,0.1769381748446716
SITE,REMUNERATION,0.5862967372010567
SITE,idCSVDescript,
ADR_VILLE,PRG,-0.3903730394671787
ADR_VILLE,ANNEE_SCOLAIRE,0.034596120489349874
ADR_VILLE,SITE,1.3178805251748846
ADR_VILLE,ADR_VILLE,10.0
ADR_VILLE,ADR_PAYS,-0.17623602778680314
ADR_VILLE,ENTREPRISE,0.42468990837425086
ADR_VILLE,VILLE,0.4986311027131221
ADR_VILLE,PAYS,-0.059400977947171384
ADR_VILLE,SUJET,-0.040929992928286835
ADR_VILLE,REMUNERATION,0.4152823620186088
ADR_VILLE,idCSVDescript,
ADR_PAYS,PRG,-0.0013624660143839273
ADR_PAYS,ANNEE_SCOLAIRE,0.463199642066073
ADR_PAYS,SITE,-0.06121282034876194
ADR_PAYS,ADR_VILLE,-0.17623602778680314
ADR_PAYS,ADR_PAYS,10.0
ADR_PAYS,ENTREPRISE,-0.3016194811296791
ADR_PAYS,VILLE,0.03418798171637369
ADR_PAYS,PAYS,0.4203667275232431
ADR_PAYS,SUJET,0.21297455301428775
ADR_PAYS,REMUNERATION,-0.37348364807715256
ADR_PAYS,idCSVDescript,
ENTREPRISE,PRG,-0.7150842906784189
ENTREPRISE,ANNEE_SCOLAIRE,0.17068627783596582
ENTREPRISE,SITE,0.5261641183799389
ENTREPRISE,ADR_VILLE,0.42468990837425086
ENTREPRISE,ADR_PAYS,-0.3016194811296791
ENTREPRISE,ENTREPRISE,10.0
ENTREPRISE,VILLE,0.5142467627706069
ENTREPRISE,PAYS,0.18300361940781243
ENTREPRISE,SUJET,0.2425522455863326
ENTREPRISE,REMUNERATION,-0.2709017985711009
ENTREPRISE,idCSVDescript,
VILLE,PRG,0.09556110341432278
VILLE,ANNEE_SCOLAIRE,0.12464925436037153
VILLE,SITE,0.5546180431153792
VILLE,ADR_VILLE,0.4986311027131221
VILLE,ADR_PAYS,0.03418798171637369
VILLE,ENTREPRISE,0.5142467627706069
VILLE,VILLE,10.0
VILLE,PAYS,-0.08124341681615126
VILLE,SUJET,-0.11607754262761284
VILLE,REMUNERATION,-0.19802846344008165
VILLE,idCSVDescript,
PAYS,PRG,-0.9720921320548753
PAYS,ANNEE_SCOLAIRE,0.6236734598827627
PAYS,SITE,-0.40116885623316617
PAYS,ADR_VILLE,-0.059400977947171384
PAYS,ADR_PAYS,0.4203667275232431
PAYS,ENTREPRISE,0.18300361940781243
PAYS,VILLE,-0.08124341681615126
PAYS,PAYS,10.0
PAYS,SUJET,0.18903856165006408
PAYS,REMUNERATION,-1.4078182198941258
PAYS,idCSVDescript,
SUJET,PRG,-1.0331046269866668
SUJET,ANNEE_SCOLAIRE,0.6476006061993922
SUJET,SITE,0.1769381748446716
SUJET,ADR_VILLE,-0.040929992928286835
SUJET,ADR_PAYS,0.21297455301428775
SUJET,ENTREPRISE,0.2425522455863326
SUJET,VILLE,-0.11607754262761284
SUJET,PAYS,0.18903856165006408
SUJET,SUJET,10.0
SUJET,REMUNERATION,0.12077945117682998
SUJET,idCSVDescript,
REMUNERATION,PRG,-1.8992775440541874
REMUNERATION,ANNEE_SCOLAIRE,-0.6343496164212756
REMUNERATION,SITE,0.5862967372010567
REMUNERATION,ADR_VILLE,0.4152823620186088
REMUNERATION,ADR_PAYS,-0.37348364807715256
REMUNERATION,ENTREPRISE,-0.2709017985711009
REMUNERATION,VILLE,-0.19802846344008165
REMUNERATION,PAYS,-1.4078182198941258
REMUNERATION,SUJET,0.12077945117682998
REMUNERATION,REMUNERATION,10.0
REMUNERATION,idCSVDescript,
idCSVDescript,PRG,
idCSVDescript,ANNEE_SCOLAIRE,
idCSVDescript,SITE,
idCSVDescript,ADR_VILLE,
idCSVDescript,ADR_PAYS,
idCSVDescript,ENTREPRISE,
idCSVDescript,VILLE,
idCSVDescript,PAYS,
idCSVDescript,SUJET,
idCSVDescript,REMUNERATION,
idCSVDescript,idCSVDescript,
